Source,Target
Matches each item to one corresponding cut-out.,Matches individual objects to demonstrate basic one-to-one correspondence using identical pairs.
Matches individual objects to demonstrate basic one-to-one correspondence using identical pairs.,Counts matched objects to confirm equal quantity (up to 4).
Counts matched objects to confirm equal quantity (up to 4).,Counts matched objects to confirm equal quantity (up to 5).
Matches each item to one corresponding cut-out.,Matches and aligns objects based on specific shape and color.
Matches and aligns objects based on specific shape and color.,"Identifies and uses the specific position words ""inside,"" ""under,"" and ""beside"" to identify object locations."
"Identifies and uses the specific position words ""inside,"" ""under,"" and ""beside"" to identify object locations.",Describes the relative position of multiple objects within a scene by applying combined positional vocabulary.
Describes the relative position of multiple objects within a scene by applying combined positional vocabulary.,Analyzes objects using multiple features and accurately interprets positional relationships.
Identifies and names objects as big or small through direct visual comparison.,Classify pictorial items by comparing two visual factors.
Classify pictorial items by comparing two visual factors.,"Classifies objects using three observable features such as shape, color, and size."
"Classifies objects using three observable features such as shape, color, and size.","Classifies objects using multiple observable features (shape, color, size)."
"Classifies objects using multiple observable features (shape, color, size).","Classifies objects using multiple properties (shape, size, color) and describes similarities and differences."
"Classifies objects using multiple properties (shape, size, color) and describes similarities and differences.",Analyzes objects using multiple properties and accurately describes the basis of classification.
Identifies and names objects as big or small through direct visual comparison.,Sequences three cards based on a single attribute to demonstrate early seriation logic.
Sequences three cards based on a single attribute to demonstrate early seriation logic.,"Arranges 3–4 objects in order based on shape, size, or simple patterns."
"Arranges 3–4 objects in order based on shape, size, or simple patterns.",Arranges 4–5 objects in a sequence and identifies the underlying pattern or rule.
Arranges 4–5 objects in a sequence and identifies the underlying pattern or rule.,Arranges more than 5 objects in a sequence using defined criteria and maintains consistent ordering.
Counts matched objects to confirm equal quantity (up to 4).,Counts three objects one by one to establish early cardinality.
Counts three objects one by one to establish early cardinality.,Identifies quantities up to 5 by counting discrete objects.
Identifies quantities up to 5 by counting discrete objects.,Correlates numerals to quantities up to 10 by selecting digits for object sets.
Correlates numerals to quantities up to 10 by selecting digits for object sets.,Verifies pictorial quantities within the 11–20 range to confirm counting accuracy.
Verifies pictorial quantities within the 11–20 range to confirm counting accuracy.,Composes numbers up to 99 using groups of tens and ones.
Identifies quantities up to 5 by counting discrete objects.,Counts forward and backward up to 5 from a given number.
Counts forward and backward up to 5 from a given number.,Counts forward and backward from a given number up to 10.
Counts forward and backward up to 5 from a given number.,Counts backward from a given number within 1 to 9.
Counts forward and backward from a given number up to 10.,Orders numbers from bigger to smaller within 1 to 9.
Counts forward and backward from a given number up to 10.,Counts forward from a given number within 1 to 20.
Counts backward from a given number within 1 to 9.,Counts backward accurately from a given number within 1 to 20.
Counts forward from a given number within 1 to 20.,Sequences numbers forward and backward within the range of 1 to 20.
Sequences numbers forward and backward within the range of 1 to 20.,Arranges a set of numbers in correct sequential order within the 1 to 20 range using ascending or descending logic.
Counts forward from a given number within 1 to 20.,Counts forward from a given number within 21 to 100.
Counts backward accurately from a given number within 1 to 20.,Counts backward from a given number within 1 to 99.
Counts forward from a given number within 21 to 100.,Arranges numbers from smallest to largest or largest to smallest within 1 to 99.
Counts backward from a given number within 1 to 99. ,Arranges numbers from smallest to largest or largest to smallest within 1 to 99.
Identifies quantities up to 5 by counting discrete objects.,Identifies number names up to five correctly.
Arranges numbers from smallest to largest or largest to smallest within 1 to 99.,Arrange numbers 1–99 sequentially
Identifies number names up to five correctly.,Matches spoken number names with visual sets of objects
Matches spoken number names with visual sets of objects,Matches numerals 1–5 with the corresponding number of objects.
Matches numerals 1–5 with the corresponding number of objects.,Identifies numerals up to 9 by counting objects and matching them to the correct number.
Identifies numerals up to 9 by counting objects and matching them to the correct number.,Writes numerals from 6 to 9 correctly to represent given quantities.
Writes numerals from 6 to 9 correctly to represent given quantities.,Identifies and writes numerals from 11 to 20 to represent given quantities.
Identifies and writes numerals from 11 to 20 to represent given quantities.,Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.
Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,Identifies and reads ordinal number names to describe sequential positions up to 100.
Writes two-digit numerals correctly from 21 to 99 and matches them to quantities when shown.,Reads and writes number names and matches them with corresponding numerals up to 999.
Reads and writes number names and matches them with corresponding numerals up to 999.,"Reads, writes, and matches three-digit numerals with their corresponding number names within the 100–500 range"
"Reads, writes, and matches three-digit numerals with their corresponding number names within the 100–500 range",Evaluates numerical placement in sequences up to 999 to identify missing terms.
Arranges numbers from smallest to largest or largest to smallest within 1 to 99,Evaluates numerical placement in sequences up to 999 to identify missing terms.
Evaluates numerical placement in sequences up to 999 to identify missing terms.,Extends complex numerical sequences using ascending and descending logic within a 1–999 range.
Counts three objects one by one to establish early cardinality.,Identifies zero as representing no objects or nothing in a given set.
Identifies zero as representing no objects or nothing in a given set.,Identify zero as placeholder in hundreds/tens positions (Range: 100–900).
Identify zero as placeholder in hundreds/tens positions (Range: 100–900).,Apply zero logic across full range of 3-digit numbers (Range: 100–999).
Counts three objects one by one to establish early cardinality.,Identifies more or less in groups up to 3 through counting.
Identifies more or less in groups up to 3 through counting.,Compares two numbers up to 5 using appropriate comparison vocabulary.
Compares two numbers up to 5 using appropriate comparison vocabulary.,"Compares two numbers or sets up to 10 using appropriate comparison vocabulary (more than, less than, bigger, smaller)."
"Compares two numbers or sets up to 10 using appropriate comparison vocabulary (more than, less than, bigger, smaller).",Compares two-digit numbers up to 20 using the terms greater than and less than.
Compares two-digit numbers up to 20 using the terms greater than and less than.,Compares numerical magnitudes for 2-digit numerals up to 99.
Compares numerical magnitudes for 2-digit numerals up to 99.,Compares numerical magnitudes for 3-digit numerals up to 999.
Counts matched objects to confirm equal quantity (up to 5).,Finds the total by combining and recounting two groups (up to 5).
Finds the total by combining and recounting two groups (up to 5).,Combines two groups of objects and recounts to find the total (up to 9).
Combines two groups of objects and recounts to find the total (up to 9).,Determines the total of two small groups quickly by recognizing quantities and recounting when needed (up to 9).
Determines the total of two small groups quickly by recognizing quantities and recounting when needed (up to 9).,Constructs addition facts up to 18 by grouping objects together.
Constructs addition facts up to 18 by grouping objects together.,Constructs addition facts up to 20 by combining objects and analyzing number sentences.
Constructs addition facts up to 20 by combining objects and analyzing number sentences.,Solves horizontal addition sentences up to 20.
Constructs addition facts up to 18 by grouping objects together.,Solves addition statements up to 18 by interpreting simple number sentences linked to objects or situations.
"Compares two numbers or sets up to 10 using appropriate comparison vocabulary (more than, less than, bigger, smaller).",Compares quantities in simple situations and adds to find the total up to 18.
Solves addition statements up to 18 by interpreting simple number sentences linked to objects or situations.,Compares quantities in simple situations and adds to find the total up to 18.
Solves horizontal addition sentences up to 20.,Executes vertical addition strategies for single and double-digit numbers with sums up to 20.
Executes vertical addition strategies for single and double-digit numbers with sums up to 20.,"Develops initial regrouping (carrying) logic and executes vertical procedures where addends include ""teen"" numbers"
"Develops initial regrouping (carrying) logic and executes vertical procedures where addends include ""teen"" numbers",Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.
Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Executes multi-step addition by combining three whole numbers to find totals up to 30 using visual models.
Applies mental addition strategies for two-digit numbers (sums up to 30) to reinforce fluency.,Applies mental strategies to sum two-digit numbers (up to 99) without regrouping.
Executes vertical addition strategies for single and double-digit numbers with sums up to 20.,Applies vertical addition strategies to find sums within the 1–50 range.
"Develops initial regrouping (carrying) logic and executes vertical procedures where addends include ""teen"" numbers",Executes addition involving regrouping ones into tens using place-value logic.
Finds the total by combining and recounting two groups (up to 5).,Finds the remaining number by taking away and recounting (up to 5).
Finds the remaining number by taking away and recounting (up to 5).,Removes three or four objects from a group and recounts to find the remaining number (up to 9).
Removes three or four objects from a group and recounts to find the remaining number (up to 9).,"Counts the total objects, takes away a given number, and recounts the remaining objects to determine the result (up to 9)."
"Counts the total objects, takes away a given number, and recounts the remaining objects to determine the result (up to 9).",Determines remaining quantities up to 10 by removing items from a visual collection.
Determines remaining quantities up to 10 by removing items from a visual collection.,Uses subtraction facts to find how many remain when objects are taken away from 10.
Uses subtraction facts to find how many remain when objects are taken away from 10.,Applies subtraction facts up to 10 to compare quantities and determine the difference in simple daily-life contexts.
Applies subtraction facts up to 10 to compare quantities and determine the difference in simple daily-life contexts.,"Applies diverse strategies, to solve subtraction problems up to 20."
"Applies diverse strategies, to solve subtraction problems up to 20.",Applies mental strategies to solve subtraction sentences within the 11–20 range.
Applies mental strategies to solve subtraction sentences within the 11–20 range.,apply different subtraction strategies for two-digit numbers (up to 99).
Applies mental strategies to solve subtraction sentences within the 11–20 range.,Applies mental subtraction strategies for numbers up to 45 to reinforce numerical fluency.
apply different subtraction strategies for two-digit numbers (up to 99).,Solves complex two-digit subtraction problems (up to 99) by applying regrouping strategies and multiples of ten.
Solves addition statements up to 18 by interpreting simple number sentences linked to objects or situations.,Adds quantities in a word problem to find the total when groups are combined.
Applies subtraction facts up to 10 to compare quantities and determine the difference in simple daily-life contexts.,Subtracts quantities in a word problem to find how many remain or the difference.
Adds quantities in a word problem to find the total when groups are combined.,Identifies whether addition or subtraction is required to solve a given numerical situation.
Subtracts quantities in a word problem to find how many remain or the difference.,Identifies whether addition or subtraction is required to solve a given numerical situation.
Constructs addition facts up to 18 by grouping objects together.,Relates repeated addition to multiplication ideas using simple examples.
Relates repeated addition to multiplication ideas using simple examples.,Generalizes multiplication as repeated addition through equal group counting.
Generalizes multiplication as repeated addition through equal group counting.,Constructs and recalls multiplication facts for the table of 3 to solve numerical situations.
Generalizes multiplication as repeated addition through equal group counting.,Constructs and recalls multiplication facts for tables of 2 and 3 using patterns and grouping.
Constructs and recalls multiplication facts for tables of 2 and 3 using patterns and grouping.,Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.
Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.,"Uses known multiplication facts to quickly find products, extending understanding beyond tables of 2–4."
Generalizes multiplication as repeated addition through equal group counting.,Identifies division as equal sharing by distributing objects into uniform groups.
Adds quantities in a word problem to find the total when groups are combined.,Identifies addition as the required operation and solves word problems where quantities are combined or increased.
Subtracts quantities in a word problem to find how many remain or the difference.,Identifies subtraction as the required operation and solves word problems where quantities are reduced or taken away.
Identifies addition as the required operation and solves word problems where quantities are combined or increased.,Selects the correct operation (addition or subtraction) to solve mixed word problems in familiar contexts.
Identifies subtraction as the required operation and solves word problems where quantities are reduced or taken away.,Selects the correct operation (addition or subtraction) to solve mixed word problems in familiar contexts.
Identifies division as equal sharing by distributing objects into uniform groups.,"Uses the word ""half"" to describe one of two equal parts of a whole object in routine visual contexts."
"Uses the word ""half"" to describe one of two equal parts of a whole object in routine visual contexts.","Identifies half and whole by matching, folding, or sharing objects into two equal parts."
"Identifies half and whole by matching, folding, or sharing objects into two equal parts.","Identifies the conceptual relationship between half and whole by comparing shared objects (e.g., pizza/apple)."
"Identifies the conceptual relationship between half and whole by comparing shared objects (e.g., pizza/apple).",Identifies half as one of two equal parts of a whole using familiar objects.
"Identifies the conceptual relationship between half and whole by comparing shared objects (e.g., pizza/apple).","Identifies numerical fraction labels (1/2, 1/3, 1/4, 1/8) and matches them to corresponding visual area models."
Identifies half as one of two equal parts of a whole using familiar objects.,Identifies a quarter as one of four equal parts of a whole using daily-life examples.
Identifies a quarter as one of four equal parts of a whole using daily-life examples.,Identifies three-quarters as three equal parts out of four and relates it to the whole.
Traces the outlines of basic 2D shapes,"Identifies and matches basic 2D shapes (circle, triangle, rectangle, square) across various sizes and orientations."
"Identifies and matches basic 2D shapes (circle, triangle, rectangle, square) across various sizes and orientations.",Differentiates between polygons and advanced figures like hexagons and rhombuses.
Traces the outlines of basic 2D shapes,Names common 3D objects by identifying their geometric forms in the environment.
Names common 3D objects by identifying their geometric forms in the environment.,"Relates 3D objects to flat faces through visual matching (e.g., television to rectangle)."
Names common 3D objects by identifying their geometric forms in the environment.,Matches real-world objects to their corresponding 3D shapes.
Matches real-world objects to their corresponding 3D shapes.,Matches complex real-world solids to geometric shapes to identify characteristics like flat vs. curved surfaces.
"Relates 3D objects to flat faces through visual matching (e.g., television to rectangle).",Distinguishes between flat 2D shapes and solid 3D figures while relating specific faces to corresponding objects.
"Identifies and matches basic 2D shapes (circle, triangle, rectangle, square) across various sizes and orientations.",Distinguishes between flat 2D shapes and solid 3D figures while relating specific faces to corresponding objects.
Relate actions to day/night periods.,Distinguish time via visual markers.
Distinguish time via visual markers.,Associate greetings with clock times.
Associate greetings with clock times.,Sequence activities using hourly markers.
Sequence activities using hourly markers.,Identifies chronological boundaries (sunrise/sunset) and sequences the ordinal position of specific days and months.
Correlates numerals to quantities up to 10 by selecting digits for object sets.,"Identifies and matches visual images of Indian coins (₹1, ₹2, ₹5) to their specific monetary values."
"Identifies and matches visual images of Indian coins (₹1, ₹2, ₹5) to their specific monetary values.","Recognizes and distinguishes between standard Indian currency notes (₹10, ₹20, ₹100) by relating images to labels."
"Recognizes and distinguishes between standard Indian currency notes (₹10, ₹20, ₹100) by relating images to labels.",Calculates equivalent values for denominations and matches currency images to target totals up to ₹20.
Calculates equivalent values for denominations and matches currency images to target totals up to ₹20.,Constructs monetary sets up to ₹100 by combining notes and coins.
Identifies and names objects as big or small through direct visual comparison.,Describes heights (tall/short) within a routine narrative context using basic descriptive labels.
Describes heights (tall/short) within a routine narrative context using basic descriptive labels.,Compares objects as taller or shorter using pictures to identify relative height.
Compares objects as taller or shorter using pictures to identify relative height.,Ranks a set of three objects based on their specific length or height properties.
Ranks a set of three objects based on their specific length or height properties.,Utilizes pictorial hand-spans as non-standard digital benchmarks to estimate length.
Utilizes pictorial hand-spans as non-standard digital benchmarks to estimate length.,"Determines the length or height of objects by identifying and counting ""feet"" as consistent repeat units in pictorial models."
Identifies and names objects as big or small through direct visual comparison.,Identifies weight status (heavy/light) based on visual cues
Identifies weight status (heavy/light) based on visual cues,"Contrasts the weight of pictorial object pairs to distinguish between ""heavy"" and ""light"" properties."
"Contrasts the weight of pictorial object pairs to distinguish between ""heavy"" and ""light"" properties.",Selects the heaviest or lightest item from a set of three objects using visual weight comparisons
Selects the heaviest or lightest item from a set of three objects using visual weight comparisons,Analyzes relative weight by interpreting the positional state of balance scales.
Identifies more or less in groups up to 3 through counting.,"Selects the correct comparison words ""more"" or ""less"" to describe visual volumes in containers"
"Selects the correct comparison words ""more"" or ""less"" to describe visual volumes in containers","Distinguishes between vessels that hold more or less liquid by comparing container types (e.g., tub vs. mug, jar vs. glass)."
"Distinguishes between vessels that hold more or less liquid by comparing container types (e.g., tub vs. mug, jar vs. glass).","Categorizes the specific internal volume level of liquid within a container using labels like quarter-full, half-full, and three-fourth full."
Relate actions to day/night periods.,Selects the appropriate relative time adverbs (today/tomorrow/yesterday) to complete routine contextual sentences.
Selects the appropriate relative time adverbs (today/tomorrow/yesterday) to complete routine contextual sentences.,"Recognizes specific types of days, such as weekends and holidays, in context."
"Recognizes specific types of days, such as weekends and holidays, in context.",Reproduces the sequential order of all 7 days and first 6 months of the year.
Associate greetings with clock times.,Interprets analog clock faces to identify and name specific hourly timeframes (O'clock).
Interprets analog clock faces to identify and name specific hourly timeframes (O'clock).,Recalls technical time conversions (seconds/minutes/hours) and basic week/month durations.
Reproduces the sequential order of all 7 days and first 6 months of the year.,Names the correct day when describing familiar events.
Reproduces the sequential order of all 7 days and first 6 months of the year.,Names the correct month when describing familiar events.
Names the correct month when describing familiar events.,Identifies the months of the year using a calendar in her daily life
Classify pictorial items by comparing two visual factors.,Recognises and extends simple patterns
Recognises and extends simple patterns,Continues a given simple pattern by selecting the next correct item.
Continues a given simple pattern by selecting the next correct item.,Identifies the repeating unit and extends the pattern.
Identifies the repeating unit and extends the pattern.,"Identifies increasing numerical patterns by using forward skip counting (5s, 10s)."
"Identifies increasing numerical patterns by using forward skip counting (5s, 10s).",Analyzes decreasing numerical patterns by identifying missing values in backward skip counting sequences.
Analyzes decreasing numerical patterns by identifying missing values in backward skip counting sequences.,completes numerical sequences up to 999 by identifying missing values in backward skip-counting by 10s and skip-counting by 100s.
"Identifies increasing numerical patterns by using forward skip counting (5s, 10s).",Categorizes and extends even and odd number patterns (+2) within sequences.
Categorizes and extends even and odd number patterns (+2) within sequences.,Identifies and extends alternating patterns of two (+2) within numerical sequences.
Constructs and recalls multiplication facts for tables of 2 and 3 using patterns and grouping.,"Generalizes growth in sequences by predicting fixed increases (2s, 3s, 4s) via skip counting and tables."
completes numerical sequences up to 999 by identifying missing values in backward skip-counting by 10s and skip-counting by 100s.,Extends complex numerical sequences using ascending and descending logic within a 1–999 range.